id;title;sales;unit_sales;title_normalized;brand_title;brand_list;dist
1;Nokia Asha 503 Dual Sim Liberado  Nuevos   Garantia;2996.99;1;NOKIA ASHA 503 DUAL SIM LIBERADO NUEVOS GARANTIA;NOKIA;NOKIA;0.0
2;Samsung Galaxy A5 A500 16gb Refabricado 2gb Ram 13mp;31495.0;5;SAMSUNG GALAXY A5 A500 16GB REFABRICADO 2GB RAM 13MP;SAMSUNG;SAMSUNG;0.0
3;Celular Android Smartphone Liberado 4g Lte Tcl Hd Gps Flash;77380.0;20;CELULAR ANDROID SMARTPHONE LIBERADO 4G LTE TCL HD GPS FLASH;LTE;OTROS;0.3333333333333333
4;Telefono Celular Lg G7 4g Lte Libre Nuevo Garantia Dual Cam;99997.0;3;TELEFONO CELULAR LG G7 4G LTE LIBRE NUEVO GARANTIA DUAL CAM;LG;LG;0.0
5;Telefono Celular Lg G7 New Platinum Gray 4g Lte 64gb 4gb Ram;219992.0;8;TELEFONO CELULAR LG G7 NEW PLATINUM GRAY 4G LTE 64GB 4GB RAM;LG;LG;0.0
6;Celular Lg K10 2017 4g 16gb 2gb M250 Garantia;1069786.0;214;CELULAR LG K10 2017 4G 16GB 2GB M250 GARANTIA;LG;LG;0.0
7;Celular Smartphone 4g Wifi Dual Cam 5 Pulg + Garantia;3299.0;1;CELULAR SMARTPHONE 4G WIFI DUAL CAM 5 PULG GARANTIA;CAM;OTROS;0.3333333333333333
8;Samsung Galaxy S6 64gb Edge Liberadonuevo, En Caja, Con Gtia;13500.0;1;SAMSUNG GALAXY S6 64GB EDGE LIBERADONUEVO EN CAJA CON GTIA;SAMSUNG;SAMSUNG;0.0
9;Samsung Galaxy Ace2 Ll Gt-i8160 Eb425161lu S3mini Envios;712.3;2;SAMSUNG GALAXY ACE2 LL GT I8160 EB425161LU S3MINI ENVIOS;SAMSUNG;SAMSUNG;0.0
10;Celular Samsung Galaxy S3 Quadcore Exelente Liberado Rojo;4500.0;1;CELULAR SAMSUNG GALAXY S3 QUADCORE EXELENTE LIBERADO ROJO;SAMSUNG;SAMSUNG;0.0
11;Smartphone Ken Brown 5.5  Android 5.1 Dual Sim 4g Lte;9998.0;2;SMARTPHONE KEN BROWN 5 5 ANDROID 5 1 DUAL SIM 4G LTE;LTE;OTROS;0.3333333333333333
12;Samsung Galaxy Grand Prime Refabricado + Memoria 8gb Regalo;25394.0;6;SAMSUNG GALAXY GRAND PRIME REFABRICADO MEMORIA 8GB REGALO;SAMSUNG;SAMSUNG;0.0
13;Celular Iphone 6s 128gb 4g Lte 8mpx En Caja Cerrada+templado;46460.28;2;CELULAR IPHONE 6S 128GB 4G LTE 8MPX EN CAJA CERRADA TEMPLADO;APPLE;APPLE;0.0
14;Xiaomi Redmi Note 6 Pro 3gb 32gb + Funda + Envio;21200.0;2;XIAOMI REDMI NOTE 6 PRO 3GB 32GB FUNDA ENVIO;XIAOMI;XIAOMI;0.0
15;Celular Huawei P8 Lite Refabricado 16gb 2gb Ram Liberado;75299.84999999999;15;CELULAR HUAWEI P8 LITE REFABRICADO 16GB 2GB RAM LIBERADO;HUAWEI;HUAWEI;0.0
16;Celular Samsung Galaxy J6 16gb Liberado + Tablet + Memoria;79992.0;8;CELULAR SAMSUNG GALAXY J6 16GB LIBERADO TABLET MEMORIA;SAMSUNG;SAMSUNG;0.0
17;Apple Iphone  X 256gb 5.8  Nuevo Modelo Factura A O B !!;70699.0;1;APPLE IPHONE X 256GB 5 8 NUEVO MODELO FACTURA A O B ;APPLE;APPLE;0.0
18;Samsung Galaxy A 3 * Libres * Nuevos * 4g * 16gb *;6500.0;1;SAMSUNG GALAXY A 3 LIBRES NUEVOS 4G 16GB ;SAMSUNG;SAMSUNG;0.0
19;Celular Lg K10 2017 Liberado 4g 13mp Octacore 16gb Android 7;1589735.0;265;CELULAR LG K10 2017 LIBERADO 4G 13MP OCTACORE 16GB ANDROID 7;LG;LG;0.0
20;Telefono Celular Xiaomi Redmi 5 Plus 3gb 32gb 12mpx Octacore;401860.0;40;TELEFONO CELULAR XIAOMI REDMI 5 PLUS 3GB 32GB 12MPX OCTACORE;XIAOMI;XIAOMI;0.0
21;Celular Blu Diva Flex 2g  Tapita Fm Dual Sim  Mem Libres Nvo;11443.0;7;CELULAR BLU DIVA FLEX 2G TAPITA FM DUAL SIM MEM LIBRES NVO;BLU;BLU;0.0
22;Samsung J1 Ace 4g Libre;10497.0;3;SAMSUNG J1 ACE 4G LIBRE;SAMSUNG;SAMSUNG;0.0
23;Alcatel One Touch Pop C3 Nuevo 0km Garantias  Envio;2893.99;1;ALCATEL ONE TOUCH POP C3 NUEVO 0KM GARANTIAS ENVIO;ALCATEL;ALCATEL;0.0
24;Celular Huawei Y550d Android 4.4 Quad Core Gps 5mp 4g Lte;13196.0;4;CELULAR HUAWEI Y550D ANDROID 4 4 QUAD CORE GPS 5MP 4G LTE;HUAWEI;HUAWEI;0.0
25;Celular Motorola Moto G6 Plus Xt1926 4gb Ram 64gb + Funda;305778.0;22;CELULAR MOTOROLA MOTO G6 PLUS XT1926 4GB RAM 64GB FUNDA;MOTOROLA;MOTOROLA;0.0
26;Apple Iphone 6. Sellado Y Libre De Fabrica;13500.0;1;APPLE IPHONE 6 SELLADO Y LIBRE DE FABRICA;APPLE;APPLE;0.0
27;Telefono Celular Samsung Galaxy J4 Violeta Libre +smartwatch;8999.0;1;TELEFONO CELULAR SAMSUNG GALAXY J4 VIOLETA LIBRE SMARTWATCH;SAMSUNG;SAMSUNG;0.0
